Feature,ANTs,FreeSurfer
SEX,0.7620906,0.8120786
VOLUME,1.503152,3.487465
left.caudal.anterior.cingulate,8.089588,2.270989
left.caudal.middle.frontal,4.984515,2.920797
left.cuneus,4.090018,3.894849
left.entorhinal,1.139588,1.169555
left.fusiform,3.623188,4.212945
left.inferior.parietal,3.076502,3.541184
left.inferior.temporal,4.310026,1.173485
left.isthmus.cingulate,6.863707,5.964745
left.lateral.occipital,1.510127,0.9308073
left.lateral.orbitofrontal,2.695302,0.9174437
left.lingual,5.584659,7.367264
left.medial.orbitofrontal,8.887605,2.034693
left.middle.temporal,2.440605,3.054502
left.parahippocampal,4.31642,1.341334
left.paracentral,7.159692,3.127773
left.pars.opercularis,11.59417,8.180174
left.pars.orbitalis,2.642884,2.902
left.pars.triangularis,3.719817,6.802968
left.pericalcarine,4.321386,6.017219
left.postcentral,2.850654,2.367388
left.posterior.cingulate,7.594977,7.097801
left.precentral,8.706689,4.559022
left.precuneus,3.843557,4.913767
left.rostral.anterior.cingulate,5.240303,2.056297
left.rostral.middle.frontal,1.417284,1.473383
left.superior.frontal,5.780782,6.81345
left.superior.parietal,1.102406,2.034653
left.superior.temporal,2.964896,7.695543
left.supramarginal,2.939684,5.057219
left.transverse.temporal,13.68191,2.648905
left.insula,1.867985,2.615179
right.caudal.anterior.cingulate,3.849572,1.658642
right.caudal.middle.frontal,3.020018,2.144041
right.cuneus,6.746345,4.06727
right.entorhinal,1.885264,2.022451
right.fusiform,2.244769,4.568589
right.inferior.parietal,2.42651,4.319385
right.inferior.temporal,3.602956,1.675056
right.isthmus.cingulate,4.886918,5.651552
right.lateral.occipital,2.064399,1.315063
right.lateral.orbitofrontal,2.486037,1.862445
right.lingual,5.029299,7.66014
right.medial.orbitofrontal,6.620382,3.068018
right.middle.temporal,3.955648,4.611686
right.parahippocampal,2.548755,0.7494417
right.paracentral,5.379825,4.361347
right.pars.opercularis,8.231949,11.47573
right.pars.orbitalis,3.794244,2.055611
right.pars.triangularis,5.478554,9.770321
right.pericalcarine,4.368642,7.125752
right.postcentral,2.306816,1.572881
right.posterior.cingulate,5.90761,6.182193
right.precentral,7.095432,5.038884
right.precuneus,4.702523,3.073372
right.rostral.anterior.cingulate,2.532061,1.549946
right.rostral.middle.frontal,1.730905,2.065661
right.superior.frontal,3.97724,4.394478
right.superior.parietal,1.674141,2.052665
right.superior.temporal,2.849675,6.261851
right.supramarginal,2.759078,2.824897
right.transverse.temporal,11.33757,2.548528
right.insula,3.119586,3.994778
