Id,ElapsedTime
IXI002-Guys-0828-,14.235
IXI115-Guys-0738-,9.734
IXI116-Guys-0739-,15.374
IXI117-Guys-0763-,14.340
IXI118-Guys-0764-,11.941
IXI119-Guys-0765-,11.645
IXI120-Guys-0766-,13.744
IXI121-Guys-0772-,13.013
IXI122-Guys-0773-,13.488
IXI123-Guys-0774-,14.033
IXI126-HH-1437-,13.590
IXI022-Guys-0701-,19.059
IXI127-HH-1451-,15.760
IXI128-HH-1470-,15.271
IXI129-Guys-0775-,15.029
IXI130-HH-1528-,17.363
IXI131-HH-1527-,18.665
IXI132-HH-1415-,15.589
IXI134-Guys-0780-,13.986
IXI135-Guys-0779-,15.485
IXI136-HH-1452-,14.313
IXI137-HH-1472-,15.167
IXI023-Guys-0699-,19.014
IXI138-Guys-0746-,10.590
IXI139-Guys-0815-,14.209
IXI140-Guys-0787-,16.444
IXI141-Guys-0789-,14.577
IXI142-Guys-0786-,15.203
IXI143-Guys-0785-,14.180
IXI144-Guys-0788-,14.178
IXI145-Guys-0781-,14.697
IXI146-HH-1389-,15.103
IXI148-HH-1453-,15.347
IXI024-Guys-0705-,15.241
IXI150-HH-1550-,7.588
IXI151-Guys-0793-,15.193
IXI153-Guys-0782-,11.283
IXI154-Guys-0821-,11.908
IXI156-Guys-0837-,14.955
IXI157-Guys-0816-,15.835
IXI158-Guys-0783-,16.557
IXI159-HH-1549-,17.187
IXI160-HH-1637-,16.543
IXI161-HH-2533-,17.994
IXI025-Guys-0852-,15.427
IXI162-HH-1548-,15.386
IXI163-HH-1621-,13.274
IXI164-Guys-0844-,15.599
IXI165-HH-1589-,12.976
IXI169-Guys-0842-,17.351
IXI170-Guys-0843-,16.464
IXI026-Guys-0696-,9.809
IXI175-HH-1570-,12.079
IXI176-HH-1604-,13.192
IXI180-HH-1605-,14.376
IXI181-Guys-0790-,10.625
IXI182-Guys-0792-,11.126
IXI027-Guys-0710-,14.811
IXI183-Guys-0791-,10.434
IXI184-Guys-0794-,10.159
IXI185-Guys-0795-,15.683
IXI186-Guys-0796-,16.856
IXI188-Guys-0798-,17.570
IXI189-Guys-0799-,11.051
IXI191-Guys-0801-,17.346
IXI192-Guys-0878-,18.904
IXI193-Guys-0810-,11.222
IXI194-Guys-0818-,16.952
IXI028-Guys-1038-,11.108
IXI195-HH-1620-,19.798
IXI196-Guys-0805-,15.128
IXI197-Guys-0811-,13.417
IXI198-Guys-0803-,14.076
IXI199-Guys-0802-,17.775
IXI200-Guys-0812-,14.915
IXI201-HH-1588-,12.345
IXI202-HH-1526-,13.136
IXI204-HH-1651-,14.191
IXI205-HH-1649-,14.682
IXI029-Guys-0829-,17.343
IXI206-HH-1650-,10.604
IXI207-Guys-0809-,14.082
IXI208-Guys-0808-,11.198
IXI209-Guys-0804-,13.664
IXI210-Guys-0856-,16.354
IXI211-HH-1568-,16.358
IXI212-HH-1643-,12.241
IXI213-HH-1642-,14.227
IXI214-HH-1636-,12.912
IXI216-HH-1635-,16.490
IXI030-Guys-0708-,11.929
IXI217-HH-1638-,15.451
IXI219-Guys-0894-,10.813
IXI221-HH-1606-,11.595
IXI222-Guys-0819-,12.387
IXI223-Guys-0830-,12.507
IXI224-Guys-0823-,12.648
IXI225-Guys-0832-,16.651
IXI226-HH-1618-,14.433
IXI227-Guys-0813-,13.187
IXI031-Guys-0797-,16.961
IXI012-HH-1211-,22.231
IXI228-Guys-0822-,15.133
IXI229-Guys-0980-,16.127
IXI230-IOP-0869-,11.788
IXI231-IOP-0866-,14.464
IXI232-IOP-0898-,13.179
IXI233-IOP-0875-,11.725
IXI234-IOP-0870-,16.907
IXI236-Guys-0817-,17.149
IXI237-Guys-1049-,12.049
IXI238-IOP-0883-,15.388
IXI033-HH-1259-,15.128
IXI239-HH-2296-,15.304
IXI240-Guys-0834-,11.939
IXI241-Guys-0833-,11.640
IXI242-HH-1722-,13.674
IXI244-Guys-0841-,12.812
IXI246-Guys-0840-,14.079
