Id,ElapsedTime
KKI2009-01-,11.981
KKI2009-12-,13.835
KKI2009-13-,14.113
KKI2009-14-,12.629
KKI2009-15-,13.534
KKI2009-16-,13.587
KKI2009-17-,16.669
KKI2009-18-,13.198
KKI2009-19-,13.218
KKI2009-20-,11.623
KKI2009-21-,13.637
KKI2009-02-,17.708
KKI2009-22-,12.280
KKI2009-23-,9.621
KKI2009-24-,14.464
KKI2009-25-,13.825
KKI2009-26-,17.396
KKI2009-27-,10.830
KKI2009-28-,13.105
KKI2009-29-,14.821
KKI2009-30-,12.953
KKI2009-31-,11.586
KKI2009-03-,13.602
KKI2009-32-,12.718
KKI2009-33-,14.756
KKI2009-34-,13.272
KKI2009-35-,13.201
KKI2009-36-,12.176
KKI2009-37-,14.657
KKI2009-38-,16.234
KKI2009-39-,14.393
KKI2009-40-,20.360
KKI2009-41-,15.189
KKI2009-04-,17.659
KKI2009-42-,13.375
KKI2009-05-,13.165
KKI2009-06-,13.949
KKI2009-07-,17.336
KKI2009-08-,13.796
KKI2009-10-,14.142
KKI2009-11-,15.177
