Id,ElapsedTime
1013090_,15.888
3106263_,16.634
3166395_,13.745
3209959_,14.647
3261820_,13.407
3304648_,13.401
3328556_,22.617
3329569_,13.049
3346545_,12.232
3362208_,15.227
3366302_,13.613
1285465_,16.862
3374719_,18.694
3409284_,14.841
3431295_,12.304
3431940_,15.049
3466763_,13.972
3486362_,15.011
3492484_,14.957
3566919_,18.473
3594255_,15.426
3606220_,13.244
1288657_,20.222
3611212_,12.041
3695138_,18.007
3701005_,13.355
3729976_,15.343
3755111_,15.228
3773269_,24.561
3795193_,17.802
3808535_,14.927
3811036_,13.571
3815065_,15.318
1292527_,15.368
3827479_,14.826
3848143_,14.571
3875444_,17.100
3893245_,16.917
3895064_,15.299
3911767_,10.892
3927656_,10.786
3934325_,11.719
3951328_,14.841
3965194_,17.402
1309257_,16.399
3989122_,12.038
4006955_,13.578
4015919_,14.774
4026825_,14.510
4077433_,13.955
4087509_,12.777
4089896_,13.489
4097119_,17.715
4100790_,13.836
4119751_,12.646
1322220_,14.650
4143704_,12.643
4154799_,10.530
4176156_,11.348
4188346_,15.966
4230470_,34.633
4277600_,12.421
4290056_,11.120
4323037_,12.122
4417007_,12.526
4487215_,13.414
1334556_,16.137
4710111_,13.437
4791943_,12.030
5108043_,11.711
5161117_,13.729
5205221_,13.181
5279162_,12.063
5461463_,9.547
5844518_,17.998
6471972_,15.357
6539040_,15.928
1334913_,17.608
6692978_,17.501
6913939_,15.381
7055197_,11.887
7212617_,20.740
8317157_,20.496
8574662_,16.886
8628499_,20.175
8691891_,17.188
9100911_,17.104
9421819_,21.147
1339484_,12.946
9536886_,17.331
9537916_,12.408
9630905_,13.013
9645370_,15.936
9716792_,12.643
9780496_,16.075
1351931_,12.319
1366839_,15.099
1034049_,18.436
1382333_,16.237
1427581_,15.460
1476437_,15.666
1494230_,18.294
1508861_,14.899
1522653_,16.006
1523112_,16.526
1525492_,17.877
1534265_,33.246
1097782_,13.717
1601547_,15.913
1616468_,16.751
1654606_,13.648
1709141_,10.261
1734822_,8.161
1742775_,9.226
1753435_,8.893
1757866_,10.290
1764982_,15.598
1103722_,19.104
1781836_,19.247
1834799_,14.037
1898228_,23.102
1903493_,12.967
1915832_,15.242
1931386_,11.201
1935851_,13.084
1940084_,19.078
1943306_,13.714
1961098_,13.721
2005303_,15.266
2021454_,12.624
2041109_,11.166
2071045_,13.202
2113846_,15.096
2132437_,14.619
2139745_,11.894
2160826_,12.239
2166659_,14.411
1143655_,14.835
2176073_,14.240
2221971_,15.303
2248813_,14.743
2258252_,13.549
2286053_,12.948
2286816_,16.465
2328270_,15.725
2357976_,12.780
2362594_,12.841
2403029_,16.650
1150497_,14.587
2436415_,17.403
2457957_,12.463
2465771_,17.276
2475376_,16.065
2483617_,14.197
2505567_,17.151
2513310_,14.212
2524225_,13.398
2531270_,14.009
2541244_,15.036
1192435_,15.144
2631208_,15.385
2652676_,17.468
2675807_,14.473
2678751_,11.402
2731081_,13.024
2784584_,19.692
2788776_,10.580
2842950_,14.392
2861923_,12.352
1264721_,19.023
2864064_,13.098
2868630_,16.180
2882334_,16.327
2915821_,18.376
2970212_,13.782
2986140_,15.285
3033715_,15.073
3070385_,14.790
3081896_,14.957
3094481_,15.398
1271401_,17.516
