Id,ElapsedTime
OAS1_0001_MR1_mpr_n4_anon_sbj_111,11.775
OAS1_0105_MR1_mpr_n4_anon_sbj_111,15.455
OAS1_0106_MR1_mpr_n4_anon_sbj_111,11.510
OAS1_0107_MR1_mpr_n3_anon_sbj_111,16.918
OAS1_0108_MR1_mpr_n3_anon_sbj_111,17.179
OAS1_0109_MR1_mpr_n4_anon_sbj_111,13.661
OAS1_0110_MR1_mpr_n4_anon_sbj_111,19.659
OAS1_0111_MR1_mpr_n4_anon_sbj_111,18.832
OAS1_0111_MR2_mpr_n4_anon_sbj_111,15.497
OAS1_0112_MR1_mpr_n4_anon_sbj_111,18.277
OAS1_0113_MR1_mpr_n4_anon_sbj_111,13.547
OAS1_0013_MR1_mpr_n4_anon_sbj_111,10.937
OAS1_0114_MR1_mpr_n4_anon_sbj_111,10.984
OAS1_0115_MR1_mpr_n4_anon_sbj_111,13.422
OAS1_0116_MR1_mpr_n3_anon_sbj_111,14.753
OAS1_0117_MR1_mpr_n4_anon_sbj_111,16.871
OAS1_0117_MR2_mpr_n4_anon_sbj_111,18.450
OAS1_0119_MR1_mpr_n3_anon_sbj_111,17.167
OAS1_0120_MR1_mpr_n4_anon_sbj_111,16.007
OAS1_0121_MR1_mpr_n4_anon_sbj_111,14.036
OAS1_0122_MR1_mpr_n4_anon_sbj_111,15.670
OAS1_0123_MR1_mpr_n4_anon_sbj_111,12.370
OAS1_0014_MR1_mpr_n4_anon_sbj_111,14.703
OAS1_0124_MR1_mpr_n4_anon_sbj_111,11.596
OAS1_0125_MR1_mpr_n4_anon_sbj_111,18.174
OAS1_0126_MR1_mpr_n3_anon_sbj_111,14.300
OAS1_0127_MR1_mpr_n3_anon_sbj_111,15.969
OAS1_0130_MR1_mpr_n4_anon_sbj_111,14.095
OAS1_0131_MR1_mpr_n4_anon_sbj_111,18.249
OAS1_0132_MR1_mpr_n4_anon_sbj_111,13.443
OAS1_0133_MR1_mpr_n4_anon_sbj_111,15.050
OAS1_0134_MR1_mpr_n4_anon_sbj_111,11.439
OAS1_0135_MR1_mpr_n4_anon_sbj_111,21.055
OAS1_0015_MR1_mpr_n3_anon_sbj_111,16.815
OAS1_0136_MR1_mpr_n4_anon_sbj_111,13.153
OAS1_0137_MR1_mpr_n4_anon_sbj_111,18.643
OAS1_0138_MR1_mpr_n4_anon_sbj_111,16.001
OAS1_0139_MR1_mpr_n4_anon_sbj_111,15.137
OAS1_0140_MR1_mpr_n3_anon_sbj_111,19.119
OAS1_0141_MR1_mpr_n3_anon_sbj_111,15.148
OAS1_0142_MR1_mpr_n4_anon_sbj_111,15.842
OAS1_0143_MR1_mpr_n4_anon_sbj_111,14.572
OAS1_0144_MR1_mpr_n4_anon_sbj_111,16.005
OAS1_0145_MR1_mpr_n4_anon_sbj_111,13.567
OAS1_0016_MR1_mpr_n3_anon_sbj_111,15.785
OAS1_0145_MR2_mpr_n4_anon_sbj_111,14.494
OAS1_0146_MR1_mpr_n4_anon_sbj_111,13.331
OAS1_0147_MR1_mpr_n4_anon_sbj_111,15.247
OAS1_0148_MR1_mpr_n3_anon_sbj_111,18.153
OAS1_0150_MR1_mpr_n4_anon_sbj_111,14.779
OAS1_0150_MR2_mpr_n4_anon_sbj_111,14.839
OAS1_0151_MR1_mpr_n4_anon_sbj_111,13.922
OAS1_0152_MR1_mpr_n4_anon_sbj_111,15.726
OAS1_0153_MR1_mpr_n4_anon_sbj_111,14.740
OAS1_0155_MR1_mpr_n4_anon_sbj_111,14.458
OAS1_0017_MR1_mpr_n4_anon_sbj_111,13.083
OAS1_0156_MR1_mpr_n4_anon_sbj_111,15.730
OAS1_0156_MR2_mpr_n4_anon_sbj_111,17.660
OAS1_0157_MR1_mpr_n4_anon_sbj_111,17.592
OAS1_0158_MR1_mpr_n4_anon_sbj_111,18.889
OAS1_0159_MR1_mpr_n3_anon_sbj_111,16.827
OAS1_0160_MR1_mpr_n4_anon_sbj_111,16.981
OAS1_0161_MR1_mpr_n4_anon_sbj_111,16.807
OAS1_0162_MR1_mpr_n4_anon_sbj_111,20.132
OAS1_0163_MR1_mpr_n4_anon_sbj_111,16.313
OAS1_0164_MR1_mpr_n4_anon_sbj_111,13.682
OAS1_0018_MR1_mpr_n4_anon_sbj_111,13.495
OAS1_0165_MR1_mpr_n3_anon_sbj_111,15.590
OAS1_0166_MR1_mpr_n4_anon_sbj_111,16.741
OAS1_0167_MR1_mpr_n4_anon_sbj_111,11.332
OAS1_0168_MR1_mpr_n4_anon_sbj_111,13.816
OAS1_0169_MR1_mpr_n4_anon_sbj_111,14.542
OAS1_0170_MR1_mpr_n4_anon_sbj_111,11.173
OAS1_0173_MR1_mpr_n4_anon_sbj_111,16.554
OAS1_0174_MR1_mpr_n4_anon_sbj_111,18.349
OAS1_0176_MR1_mpr_n4_anon_sbj_111,14.848
OAS1_0177_MR1_mpr_n3_anon_sbj_111,15.597
OAS1_0019_MR1_mpr_n4_anon_sbj_111,17.581
OAS1_0178_MR1_mpr_n4_anon_sbj_111,16.292
OAS1_0179_MR1_mpr_n4_anon_sbj_111,20.215
OAS1_0180_MR1_mpr_n4_anon_sbj_111,18.834
OAS1_0181_MR1_mpr_n3_anon_sbj_111,18.936
OAS1_0182_MR1_mpr_n4_anon_sbj_111,18.960
OAS1_0183_MR1_mpr_n4_anon_sbj_111,17.861
OAS1_0184_MR1_mpr_n4_anon_sbj_111,11.768
OAS1_0185_MR1_mpr_n4_anon_sbj_111,17.561
OAS1_0186_MR1_mpr_n4_anon_sbj_111,16.501
OAS1_0188_MR1_mpr_n3_anon_sbj_111,15.267
OAS1_0020_MR1_mpr_n3_anon_sbj_111,10.652
OAS1_0189_MR1_mpr_n4_anon_sbj_111,16.394
OAS1_0190_MR1_mpr_n4_anon_sbj_111,25.741
OAS1_0191_MR1_mpr_n4_anon_sbj_111,14.027
OAS1_0191_MR2_mpr_n4_anon_sbj_111,14.199
OAS1_0192_MR1_mpr_n3_anon_sbj_111,12.713
OAS1_0193_MR1_mpr_n4_anon_sbj_111,17.543
OAS1_0195_MR1_mpr_n4_anon_sbj_111,16.815
OAS1_0197_MR1_mpr_n4_anon_sbj_111,16.761
OAS1_0199_MR1_mpr_n3_anon_sbj_111,16.759
OAS1_0200_MR1_mpr_n4_anon_sbj_111,16.532
OAS1_0021_MR1_mpr_n4_anon_sbj_111,13.789
OAS1_0201_MR1_mpr_n4_anon_sbj_111,16.742
OAS1_0202_MR1_mpr_n4_anon_sbj_111,16.265
OAS1_0202_MR2_mpr_n4_anon_sbj_111,16.889
OAS1_0203_MR1_mpr_n4_anon_sbj_111,14.470
OAS1_0204_MR1_mpr_n4_anon_sbj_111,19.020
OAS1_0205_MR1_mpr_n4_anon_sbj_111,15.831
OAS1_0206_MR1_mpr_n4_anon_sbj_111,17.917
OAS1_0207_MR1_mpr_n3_anon_sbj_111,16.907
OAS1_0208_MR1_mpr_n3_anon_sbj_111,16.253
OAS1_0209_MR1_mpr_n4_anon_sbj_111,16.069
OAS1_0022_MR1_mpr_n4_anon_sbj_111,12.878
OAS1_0003_MR1_mpr_n4_anon_sbj_111,11.375
OAS1_0210_MR1_mpr_n4_anon_sbj_111,16.216
OAS1_0211_MR1_mpr_n4_anon_sbj_111,17.100
OAS1_0212_MR1_mpr_n4_anon_sbj_111,16.966
